src	dst	amount
U499f24158a40	C0166be581dd4	1
U5d9b4e4a7baf	U000000000000	1
C1c86825bd597	U01814d1ec9ff	1
U09cf1f359454	Bb78026d99388	-1
U393de9ce9ec4	U000000000000	1
Ue7a29d5409f2	Cb76829a425d9	1
U389f9f24b31c	Cbce32a9b256a	1
U499f24158a40	Cf4b448ef8618	1
U499f24158a40	C96bdee4f11e2	1
Uadeb43da4abb	C30e7409c2d5f	2
U389f9f24b31c	C4893c40e481d	3
U05e4396e2382	B7f628ad203b5	1
U8a78048d60f7	Cb11edc3d0bc7	1
Uef7fbf45ef11	B7f628ad203b5	7
Uad577360d968	Bad1c69de7837	1
B506fff6cfc22	Ub7f9dfb6a7a5	1
Uad577360d968	C2bbd63b00224	9
Uda5b03b660d7	U000000000000	1
U7a8d8324441d	C4f2dafca724f	1
Ucb9952d31a9e	U000000000000	1
U65bb6831c537	U000000000000	1
U3b78f50182c7	U000000000000	1
U8a78048d60f7	Bd7a8bfcf3337	1
U499f24158a40	Cdeab5b39cc2a	1
C1ccb4354d684	Ue202d5b01f8d	1
B7f628ad203b5	U7a8d8324441d	1
Ud5b22ebf52f2	Cd6c9d5cba220	1
U8a78048d60f7	Ba5d64165e5d5	-1
Udece0afd9a8b	C4893c40e481d	1
Uab20c65d180d	U000000000000	1
Uf5096f6ab14e	C6aebafa4fe8e	8
Uef7fbf45ef11	C588ffef22463	1
Ccae34b3da05e	Ub93799d9400e	1
C96bdee4f11e2	U499f24158a40	1
U8a78048d60f7	B9c01ce5718d1	3
U0b4010c6af8e	U000000000000	1
Uc35c445325f5	B75a44a52fa29	2
U362d375c067c	Ce06bda6030fe	1
Uaa4e2be7a87a	Cfdde53c79a2d	3
U09cf1f359454	B75a44a52fa29	1
U016217c34c6e	B3c467fb437b2	2
U9a2c85753a6d	Udece0afd9a8b	1
U02fbd7c8df4c	C8343a6a576ff	1
C30fef1977b4a	U7a8d8324441d	1
U77f496546efa	Ccc25a77bfa2a	1
U6d2f25cc4264	B63fbe1427d09	-1
Ucbb6d026b66f	U000000000000	1
C3b855f713d19	U704bd6ecde75	1
U016217c34c6e	Cb76829a425d9	2
U499f24158a40	Ba3c4a280657d	1
U0c17798eaab4	Udece0afd9a8b	-1
Ud7002ae5a86c	U000000000000	1
U6d2f25cc4264	Cfe90cbd73eab	1
U0c17798eaab4	B3c467fb437b2	2
Uc1158424318a	Bdf39d0e1daf5	1
U96a8bbfce56f	U000000000000	1
C588ffef22463	Uef7fbf45ef11	1
U9e42f6dab85a	U80e22da6d8c4	1
Ba3c4a280657d	U499f24158a40	1
Ua9d9d5da3948	U000000000000	1
U8a78048d60f7	Bd90a1cf73384	3
Uef7fbf45ef11	Cfdde53c79a2d	1
U638f5c19326f	B9c01ce5718d1	2
U80e22da6d8c4	U000000000000	1
U7a8d8324441d	C94bb73c10a06	9
U362d375c067c	U000000000000	1
U8a78048d60f7	Bb78026d99388	-1
U6d2f25cc4264	B499bfc56e77b	-1
U638f5c19326f	U000000000000	1
U0c17798eaab4	Ce1a7d8996eb0	6
U499f24158a40	C54972a5fbc16	1
C7062e90f7422	U01814d1ec9ff	1
Ub93799d9400e	B9c01ce5718d1	5
U9e42f6dab85a	C15d8dfaceb75	1
U1bcba4fd7175	Be2b46c17f1da	-1
B8a531802473b	U016217c34c6e	1
U01814d1ec9ff	Bb78026d99388	-11
Ue7a29d5409f2	C4893c40e481d	4
Cf8fb8c05c116	Ucdffb8ab5145	1
Cb11edc3d0bc7	U8a78048d60f7	1
B60d725feca77	U80e22da6d8c4	1
C070e739180d6	U80e22da6d8c4	1
U0cd6bd2dde4f	B92e4a185c654	1
